No,Kode,Nama,Kontak,NPWP,Email,Telepon,Alamat,Kategori
,PL0027,PT. KIT MEGADAYA ENGINEERING,,,,,"JL. BERUANG RAYA H1 NO.193 JAYAMUKTI, CIKARANG PUSAT",
,PL0028,PT. DAIWA SINERGI KARYATAMA,,,,,JL. SAMAUN BAKRI NO.003,
,PL0029,PT. DJAYATAMA SEMESTA PERKASA,,,,,"JL. CIKARANG RAYA - CIBARUSAH NO.88, SUKADAMI CIKARANG SELATAN",
,PL0030,PT. HYUNDAI MOTOR MANUFACTURING INDONESIA,,,,021-3118-2432,"GREENLAND INTERNATIONAL INDUSTRIAL CENTER ZONE D, SUKAMUKTI, BOJONGMANGU, KAB. BEKASI",
,PL0031,PT. PARKLAND WORLD INDONESIA,,,,,"KP. CILANGKAP RT. 002 RW. 1 SUKAMANAH, RANGKASBITUNG KAB. LEBAK BANTEN",
,PL0032,CV. AMOSINDO ABADI,,,,02189844134,"GRAHA CIKARANG BLOK D2, NO. 15 CIKARANG UTARA",
,PL0034,PT. MUKTI LINTAS MEDIA,,,,02180882818,"JALAN BATU AMPAR III, NO. 8 CONDET",
,PL0035,PT. SENG DAM JAYA ABADI,,,,03216820201,DS. MANDURO MANGGUNG GAJAH KEC. NGORO KAB. MOJOKERTO,
,PL0036,PT. HANYA KARYA BAHANA,,,,021-88397344,"Kawasan GIIC Blok CJ No, RW.2, Pasirranji, Kec. Cikarang Pusat, Bekasi, Jawa Barat 17530",
,PL0037,PT. ORITSU TEKNOLOGI INDONESIA,,,,02189324782,"Ruko green market Blok F no 51, Simpangan, Kec. Cikarang Utara, Bekasi, Jawa Barat 17530",
,PL0038,PT. INNO INDONESIA RUBBER,,,,08121061756,"Jl. Raya Cikopo, Cikopo, Kec. Bungursari, Kabupaten Purwakarta, Jawa Barat",
,PL0039,PT. YASUNAGA INDONESIA,,,,(0254) 400306,"JL. MODERN INDUSTRI RAYA KAV. 24 KAWASAN INDUSTRI MODERN CIKANDE KEL. NAMBI ILIR, KEC. KIBIN CIKANDE",
,PL0040,PT. CNS TRADING INDONESIA,,,,02122055094,"JL. PALMERAH BARAT NO. 8, GROGOL UTARA, KEBAYORAN LAMA",
,PL0041,PT. DHARMA PRECISION TOOLS,,,,0218972312,"JL. INTI RAYA BLOK C3 NO. 12, BEKASI INTL. INDUSTRIAL ESTATE CIBATU, CIKARANG",
,PL0042,PT. PARKLAND WORD INDONESIA JEPARA,,,,,"JL. RAYA JEPARA-KUDUS, MAYONG, TEGELON, PELANG, MAYONG, KABUPATEN JEPARA, JAWA TENGAH",
,PL0043,CV. USAHA KARYA MANDIRI,,,,,"JL. JABABEKA VI KP. PAMAHAN NO. 17 RT.002 RW.006 DESA JATIREJA, CIKARANG TIMUR",
,PL0044,PT. CIPTA MEKANIKA PERSISI,,,,,JALAN RAYA PONDOK GEDE NO 91 JATIWARINGIN KEC PONDOK GEDE,
,PL0045,CV. BINA USAHA MANDIRI,,,,021-89775505 / 08158849381 / 085890422722,Vila Mutiara Cikarang Blok C8 No.23			Rt. 018 Rw.008 Ciantra - Cikarang Selatan Bekasi		Ruko Palazzo Blok V3 No.2,
,PL0046,PT. UNIVERSAL AGRI BISNISINDO,,,,,"JL. RAYA NAROGONG KM.12 NO.77, RT.001/RW.006, CIKIWUL, BANTARGEBANG",
,PL0047,PT. SUKSES ABADI INDONESIA,,,,,"JL. GONDANG - LENGKONG RT.000 RW.000 GONDANGKULON, KEC. GONDANG, KAB. NGANJUK, JAWA TIMUR",
,PL0048,ADI TEHNIK MANDIRI,,,,,,
,PL0049,PT. PANASONIC MANUFACTURING INDONESIA,,,,,JL. Raya Bogor Km 29 Kel.Pekayon Kec.Pasar Rebo,
,PL0050,PT. MULTI BERJAYA ASINDO,,,,021 89830301,JL. JABABEKA XVI BLOK W38 KAWASAN INDUSTRI JABABEKA CIKARANG,
,PL0051,PT. GAMMA BUANA PERSADA,,,,,PERKANTORAN PULOMAS BLOK V/5 JL. PERINTIS KEMERDEKAAN,
,PL0052,PT. ASTEER THAI SUMMIT,,,,,"KARAWANG INTERNATIONAL INDUSTRIAL CITY (KIIC) JL. PERMATA RAYA LOT. FF 5, TELUK JAMBE TIMUR",
,PL0053,PT. DAE HWA INDONESIA,,,,0218935075/77,"JL. INDUSTRI UTARA 4 BLOK SS 6B KAWASAN INDUSTRI JABABEKA CIKARANG DESA MEKAR MUKTI, KECAMATAN CIKARANG UTARA",
,PL0054,CV. DAARUL HUDA TEKNIK,,,,,"KP. CICADAS ,  RT 010,  RW 005, CIANTRA, CIKARANG SELATAN, KAB. BEKASI, JAWA BARAT 17852",
,PL0055,PT. FERINDO SAKTI,,,,,RUKO GRAND GALAXY PARK BLOK RSK 7 NO 32,
,PL0056,PT. MACHINESANYO INDONESIA,,,,021-29082889,"Rukan CBD@JababekaJl.Niaga Raya Kav AA3, Unit E18Jababeka-Cikarang, Bekasi, Jawa Barat",
,PL0057,PT. Nittsu Shoji Indonesia,,,,,"Jl. Halmahera, Gandamekar, Kec. Cikarang Bar., Bekasi, Jawa Barat 17530",
,PL0058,PT. FUJI METEC SEMARANG,,,,,,
,PL0059,PT. MAJU MAKMUR UTOMO,,,,,"JL. PARADISE RAYA II BLOK F 21 NO. C-27 RT.012 RW.012 KEL. SUNTER AGUNG, KEC. TANJUNG PRIUK JAKARTA, DKI JAKARTA",
,PL0060,PT. FUMAKILLA NOMOS,,,,+62-267432121,"JALAN TERUSAN INTERCHANGE ANGGADITA, KLARI",
,PL0061,PT. INGRESS MALINDO VENTURES,,,,021-8983-4330,"JL. INDUSTRI SELATAN 6A, BLOK GG 7A/B KAWASAN INDUSTRI JABABEKA II CIKARANG SELATAN",
,PL0062,PT. ALTINDO MITRA PERKASA,,,,,"JL. BENDA, PADURENAN RT 003 RW 010, PADURENAN, MUSTIKAJAYA",
,PL0063,PT. TRIPLE PACKING SOLUTION,,,,,"Jl. Asem Sari 2, RT.003/RW.004, Mustikasari, Kec. Mustika Jaya",
,PL0064,PT. ADRIANA ARTHA JAYA,,,,,"Jl. Raya Cikarang - Cibarusah No.5, RT.012/RW.06, Serang, Cikarang Sel.,",
,PL0065,PT. HASTA PRIMA INDUSTRI,,,,,JL. MODERN INDUSTRI III NO.1 MODERN INDUSTRIAL ESTATE CIKANDE,
,PL0066,PT. ENVIRONMENTAL INDOKARYA,,,,021-5268466,"GEDUNG LINA LT.3/301, JL.HR.RASUNA SAID KAV.B-7 SETIABUDI-JAKARTA SELATAN",
,PL0067,PT. HAKA CIPTA LOKA,,,,,"JL. SULTAN ISKANDAR MUDA NO.18 BLOK I ARTERI PONDOK INDAH KEL. KEBAYORAN LAMA SELATAN, KEC. KEBAYORAN LAMA",
,PL0068,PT. DUTA PERSADA TEHNIK,,,,,"JL. JABABEKA IV-E BLOK V NO.82, KAWASAN INDUSTRI JABABEKA I, KARANGBARU, CIKARANG UTARA",
,PL0069,PT. CAC PUTRA PERKASA,,,,,"PERUM VILLA MUTIARA 2 CLUSTER PADOVA BLOK E6/7, CIKARANG SELATAN",
,PL0070,PT. HERLINA INDAH,,,,,"JL. RAWA SUMUR II BLOK DD.16 PULO GADUNG INDUSTRI ESTATE, JAKARTA",
,PL0071,PT. YAMATO GOMU INDONESIA,,,,"0264-351216, 351217","KAWASAN INDUSTRI INDOTAISEI BLOK K-6,",
,PL0072,PT. SUBANG AUTOCOMP INDONESIA,,,,0260-460490,"JL. Raya Purwakarta-Subang Km 22 RT.009 RW.003 Desa Wantilan, Kec. Cipeundeuy, Kab. Subang, West Java, Indonesia 41272",
,PL0073,PT. WELGRO FEEDMILL (INDONESIA),,,,,KAMPUNG GUDANG DESA KARANGASEM CIBINONG,
,PL0074,PT. MANDEGANI NANDANGI ARDHI',,,,,JL. CEMPAKA PUTIH RAYA 102 JAKARTA 10510,
,PL0075,PT. LIMA TEKNO INDONESIA,,,,,"KAWASAN INDUSTRI SURYACIPTA, JL. SURYA MADYA KAV.I-15BKUTAMEKAR,CIAMPEL, KARAWANG, JAWA BARAT - 41363",
,PL0076,PT. ASAHI INDONESIA,,,,,JL. SCIENCE TIMUR 1BLOK B 3E KAWASAN JABABEKA TAHAP V CIKARANG TIMUR BEKASI - JAWABARAT 17530 INDONESIA,
,PL0077,PT. PIAGGIO INDONESIA,,,,,GEDUNG SAMPOERNA STRATEGIC SQUARE SOUTH TOWER LT.30 JL JEND. SUDIRMAN KARET SEMANGGI SETIABUDI,
,PL0078,PT. MARKETAMA INDAH,,,,,"JL. RAWA SUMUR II BLOK DD.16 PULO GADUNG INDUSTRI ESTATE, JAKARTA",
,PL0079,PT. SHINDENGEN INDONESIA,,,,0212215708086,"GREENLAND INTERNATIONAL INDUSTRIAL CENTER (GIIC) BLOK AD-2, KOTA DELTAMAS, DESA NAGASARI, KEC. SERANG BARU",
,PL0080,PT. DAIDO SP INDONESIA,,,,,"MM2100 INDUSTRIAL TOWN BLOK LL-12 CIKARANG BARAT, BEKASI",
,PL0081,PT. KENDA RUBBER INDONESIA,,,,,"JL. RAYA CIKANDE RANGKASBITUNG KM. 5, DESA KAREO, KEC. JAWILAN SERANG, BANTEN 42177",
,PL0082,PT. SIGMA UTAMA,,,,,"JL. LANBAU KP. GUDANG RT.004 RW.009 KARANG ASEM BARAT, CITEUREUP, BOGOR, JAWA BARAT",
,PL0083,PT. PROCOAT ENERGI BARU PAINT INDUSTRIES,,,,,KAWASAN INDUSTRI JABABEKA JL. JABABEKA II E BLOK C 15 H CIKARANG - BEKASI 17550,
,PL0084,PT. REKA SARANA SAKTI PRATAMA,,,,,"JL. RAYA BOGOR, JAKARTA",
,PL0085,PT. EHWA INDONESIA,,,,02678633945,"KAWASAN INDUSTRI MITRA KARAWANG, JL. MITRA TIMUR II BLOK D NO 8-9 PARUNGMULYA, CIAMPEL",
,PL0086,PT. MEGA SURYA PACKINDO,,,,,"JALAN CIPENDAWA LAMA RT.004/06 NO.25 KEL. BOJONG MENTENG, KEC. RAWA LUMBU, KOTA BEKASI 17117",
,PL0087,PT. GUNA BAKTI UNGGUL,,,,,JL. PEMBANGUNAN III NO.29 RT.001/002 KEL. BATUSARI KEC. BATU CEPER,
,PL0088,PT. USRA TAMPI INDONESIA,,,,0218934630-31,JL. JABABEKA IX D BLOK P2K - L-M-N KAWASAN INDUSTRI JABABEKA CIKARANG,
,PL0090,PT. MENARA CIPTA METALINDO,,,,,"Kawasan Industri MM2100 BI LL/9Jatiwangi, Jawa barat",
,PL0091,PT. Essilorluxottica Professional Solutions Indonesia,,,,,JL. TOMANG RAYA NO 15A TOMANG KEC. GROGOL PETAMBURAN,
,PL0093,PT. POLYVISI RAMA OPTIK,,,,,JALAN TOMANG RAYA NO 15 A KEC. GROGOL PETAMBURAN,
,PL0094,PT. MENARA CIPTA METALINDO,,,,,JLN. IRIAN XI BLOK LL 7-9 CIKARANG BARAT,
,PL0095,PAK SIGIT,,,,,,
,PL0096,PT. ASAHI SUKSES INDUSTRI,,,,,KP. PAMAHAN RT 003 RW 006 JATIREJA CIKARANG TIMUR,
,PL0097,"PT. SUPRAVISI RAMA OPTIK, MANUFACTURING",,,,,"DELTA SILICON INDUSTRIAL PARK JL SUNGKAI BLOK F26 NO. 01K-01L LIPPO CIKARANG, CIKARANG PUSAT",
,PL0098,PT. MIKASA MITRA MULIA,,,,,JL. KH RADEN MA'MUN NAMAWI PERMATA CIKARANG SELATAN (PCS) BLOK AA.8 NO.6 RT.06 RW.15 DESA SUKADAMI KECAMATAN CIKARANG SELATAN,
,PL0099,PD AGEN DARNO,,,,,,
,PL0100,PT. DWIKARYA SEJAHTERA,,,,021 - 89844554,"Jl. Techno 3 Blok E3-G Kawasan Industri Jababeka Tahap 3, CikarangBekasi",
,PL0101,PT. STAR TEC PACIFIC,,,,,"Jababeka Raya Street, Blok K No. 1 H Cikarang Industrial EstateBekasi 17530",
,PL0102,PT. CIPTA METAL MANDIRI,,,,,"JL. INDUSTRI UTAMA BLOK R.R NO.2 E, PASIRSARI CIKARANG SELATANKABUPATEN BEKASI, JAWA BARAT 17530",
,PL0103,PT. WILMAR CAHAYA INDONESIA TBK,,,,,JL. INDUSTRI SELATAN 3 JABABEKA TAHAP II BLOK GG NO. 1 RT.000 RW.000PASIRSARI CIKARANG SELATAN KAB BEKASI JAWA BARAT 17532,
,PL0104,SUKMA IKHTIAR WARNA,,,,,"JL. Ciantra No.78 Rt 007 Rw 004 Desa Ciantra, Cikarang Selatan",
,PL0105,PT. DINGXIN CINTA INDONESIA,,,,,Kawasan Business Link Citra Raya Blok O-01 No.16Sukamulya Cikupa Tangerang,
,PL0106,CV. CIPTA KENCANA,,,,,"RUKO NIRWANA SUNTER ASRI II, JL. PARADISA 22 BLOK A3 NO 88, KEL. SUNTER AGUNG, KEC.TANJUNG PRIOK JAKARTA UTARA",
,PL0107,PT. PANEN GEMILANG INDONESIA,,,,,JL. Pegadungan Rt 05 Rw 10 Ds. Jayasampurna Kec. Serang Baru Bekasi,
,PL0108,PT. PAPEROCKS INDONESIA TBK,,,,,Jl. Cijambe Bahkilong No.3 Rt 004 Rw 002 Sukadami Cikarang Selatan,
,PL0109,CV. AGUNG MANDIRI METAL WORK,,,,,"Kp. Pabuaran Wetan Jl. Ciangsana Raya No. 65 RT 003 RW 006 Ciangsana, Gunung Putri, Bogor",
,PL0110,PT. INDONESIA POLYMER COMPOUND,,,,,"KAWASAN EJIP INDUSTRIAL PARK, PLOT 6J-2 SUKARESMI CIKARANG SELATAN KAB BEKASI",
,PL0111,PT. TANTO  DYNAMIC INTERNATIONAL,,,,,"RUKO NIRWANA SUNTER ASRI II, J.PARADISE 22 ELOK A3 NO 88,KEL. SUNTER AGUNG KEC.TANJUNG PRIOK KOTA JAKARTA UTARA",
,PL0112,PT. KARYA BUMIMAS PERSADA,,,,,KP. Cibugis Rt 005 Rw 006 DS. Klapa Nunggal Kec. Klapa Nunggal Bogor Jawa Barat,
,PL0113,PT. EVERPRO INDONESIA TECHNOLOGIES,,,,,"Kawasan Surya Cipta, Jalan Surya Madya XII Kav. 1-65 E-7B Mulyasari, Ciampel Kab. Karawang Jawa Barat",
,PL0114,PT. INDONESIA KOITO,,,,,"KAWASAN INDUSTRI INDOTAISEI SEKTOR IA BLOK P-3 DESA/KELURAHAN KALIHURIP, KEC. CIKAMPEK KAB. KARAWANG",
,PL0115,PT. OG ASIA INDONESIA,,,,,"GEDUNG ALAMANDA TOWER LT.28 UNIT A, JL. TB. SIMATUPANG KAV.23-24 RT.001 RW.001, CILANDAK BARAT, CILANDAK, JAKARTA SELATAN DKI JAKARTA 12430",
,PL0116,PT. INTAN ABADI SAKTI,,,,,"Jl. KH. Umar RT 007 RW 004 Kampung Tengah, Cileungsi",
,PL0117,PT. ANDRA INTERNATIONAL,,,,,Jalan Sunter Garden Blok B7 No.9 Rt 12/Rw 19 Sunter Agung,
,PL0118,PT.ULTRA PRIMA ABADI,,,,,"JL. DAAN MOGOT KM, 16 SEMANAN, KALIDERES KOTA ADM, JAKARTA BARAT",
,PL0119,PT. SAMSUNG PRINT & PACK INDONESIA,,,,,Jl. Melati Blok - No- Rt 028 Rw 008 Kel. Wanaherang Kec. Gunung Putri Kota/Kab Bogor Jawa Barat 16965,
,PL0120,PT. TROW NUTRITION INDONESIA,,,,02189983325,"MM2100 INDUSTRIAL TOWN,JL. SELAYAR BLOCK A3-2CIKARANG BARAT",
,PL0122,PT. USRA TAMPI INDONESIA,,,,,Jl. Jababeka IX D Blok P2K-O Kawasan Industri Jababeka  Cikarang Bekasi 17833,
,PL0123,PT ADM Animal Nutrition Indonesia,,,,,MM2100 Industrial Town Jl. Selayar Blok A3-2 Cikarang Barat Bekasi 17845,
,PL0124,WAHYU ORKA TEKNOLOGI,,,,,Jl. Angsana Raya Blok L1/17 Delta Silocon Lippo Cikarang 17550,
,PL0125,TOKO NARA,,,,,,
,PL0126,PT INTEGRASI MEDIKA PRIMA,,,,,"Jalan Raya setu, Lubangbuaya, Setu Kab.Bekasi Jawa barat 17530",
,PL0127,ASA KARYA PERDANA,,,,,"BUKIT CIMANGGU CITY, A2,1, CIBADAK, TANAH SAREAL KOTA BOGOR JAWA BARAT 16166",
,PL0128,PT. Daikin Manufacturing Indonesia,,,,,"Bekasi International Industrial Estate, Jl. Inti Raya Blok C-2 No 12A, 17550 Kabupaten Bekasi",
,PL0129,PT Phillip Morris Indonesia,,,,,"ONE PACIFIC PLACE BUILDING LT.20 JL.JEND.SUDIRMAN KAV 52-53 LOT 3,5 SCBD Senayan Kebayoran Baru Jakarta Selatan, 12190 Indonesia",
,PL0130,PT. SMART PRODUCTION,,,,,Jl. Tipar Blok D No. 12 Mekarsari Depok Jawa Barat,
,PL0131,PT Hanjaya Mandala Sampoerna Tbk,,,,,"Jl RUNGKUT INDUSTRI RAYA 18 Kec. Gunung Anyar SURABAYA 60293, Indonesia",
,PL0132,FURINDAH FURNITURE,,,,,,
,PL0133,CV. ADI AUTO FILM,,,,,"JL. MENCENG RAYA TEGAL ALUR, JAKARTA BARAT",
,PL0134,PT WANG SARIMULTI UTAMA,,,,,"Lippo City Development Blok DS-12A Boston Techno Village, Cikarang 17530 Bekasi Jawa Barat",
,PL0135,PT. KAWASHIMA ENGINEERING PLASTIC INDONESIA,,,,,MM 2100 Industrial Town Block T-9 Jl. Bali Cikarang Barat Bekasi,
,PL0136,PT. TECHNO INDONESIA,,,,,"JL CEMPAKA BLOK F.16 NO 30A, DELTA SILICON III,LIPPO CIKARANG, CICAU, CIKARANG PUSAT, KAB.BEKASI, JAWA BARAT, 17531",
,PL0137,MR VASHDEV DHALAMAL,,,,,JAKARTA,
,PL0138,PT. EHWA TRADE,,,,+62 21 2210 8372,RUKO CIKARANG SQUARE BLOK E NO. 05 DESA PASIRSARI - CIKARANG SELATAN,
,PL0139,PT. TRI SAUDARA SENTOSA INDUSTRI,,,,,Jl. Pinang Blok F 17 No 3 Delta Silicon 3 Lippo Cikarang 17550Kabupaten Bekasi Jawa Barat,
,PL0140,PT. PIAGGIO INDONESIA INDUSTRIAL,,,,,JL. TEKNO INDUSTRI 1 BLOK A3 KAWASAN INDUSTRI JABABEKA PHASE 8 CIKARANG KAWASAN INDUSTRIAL JABABEKA,
,PL0141,PT. GESIA CIPTA BUANA,,,,,"Wahana Cikarang Blok D5 No 12 Sukadami, Cikarang Selatan Bekasi 17330",
,PL0142,PT. NARATAMA INTI SEMESTA,,,,,Komplek Duta Harapan Indah Blok KK No.118,
,PL0143,PT. DAMAR MITRA SOLUSINDO,,,,,"Villa Bekasi Indah 2 Blok E6 No.39 Tambun Bekasi, Jawa Barat",
,PL0144,PT. INDOPACK MULTI ABADI,,,,,"Trade Mall Harco Glodok, Jalan Raya Hayam Wuruk No 14A",
,PL0145,PT. MICROVISION INDONESIA,,,,,Komplek Perkantoran Multiguna Kemayoran Blok 5 OKJl. Rajawali Selatan Raya Kavling C-5 No 2 Jakarta,
,PL0146,PANTONE DESIGN,,,,,"Perum Bumi Cikarang Makmur Blok A16 No 25, Sukadami Cikarang Selatan",
,PL0147,CV. SHINKEN TRADING INDONESIA,,,,,"Jl. Cikiwul Rt04/04, Cikiwul Bantar Gebang, Bekasi Jawa Barat",
,PL0148,PT. TOYOTA BOSHOKU DEVICE INDONESIA,,,,,"Kawasan Greenland International Industrial Center (GIIC) Blok AA No. 18, Kota Deltamas Desa Sukamahi, Kecamatan Cikarang Pusat Kabupaten Bekasi",
,PL0150,PT. MEIHOKU INDUSTRY INDONESIA,,,,,"Delta Silicon III, Jl rotan I Blok F27, No 19A&19B Lippo Cikarang Desa Cicau Kec. Cikarang Selatan Bekasi",
,PL0151,PERSEROAN TERBATAS - BADAN WIRYAMANTA SADINA,,,,,"GRHA INTIRUB LT 3 JL CILILITAN BESAR, 454. KEBON PALA, MAKASAR, KOTA ADM.JAKARTA TIMUR DKI JAKARTA",
,PL0152,BAPAK AMRU,,,,,,
,PL0153,PT. NOAH TEX,,,,,Jl. Maligi Raya Lot P-3 KIIC Karawang-Indonesia,
,PL0154,MEIHOKU INDUSTRY INDONESIA,,,,,"JL. ROTAN I BLOK F27NO. 19 A & B LIPPO CIKARANG CICAU, CIKARANG PUSAT, KAB. BEKASI JAWA BARAT 17530",
,PL0155,PT. MEIDOH INDONESIA,,,,,"KAWASAN INDUSTRI SURYACIPTA, JL. SURYA UTAMA KAV.I-40AB CIAMPEL KARAWANG JAWA BARAT",
,PL0156,PT. ARYATEK KONTROL SEJAHTERA,,,,,Gang Nurul Hikmah No. 29 Rt 07/04 Desa Ciantra Cikarang Selatan Bekasi-Indonesia,
,PL0157,PT. Pogu Media Perkasa,,,,,"Perkantoran Buncit Mas Blok B6, Jl. Mampang Prapatan Raya No.108",
,PL0158,PT INTERCELL MITRA SANTIKA,,,,,"Kawasan Industri Jababeka I Jl. Jababeka II, Blok C 12 G Cikarang - Bekasi",
,PL0159,PT. JAYA REFRIGERATION EQUIPMENT,,,,,"Jl. Jl Surya Utama Kav.I-45 ABCD & I-46 AH, Surya Cipta City of Industry,Desa Kutanegara, Kec.Ciampel, Kab. Karawang",
,PL0160,PT. BELLSONICA INDONESIA,,,,,"Kawasan GIIC Blok AC No. 01, Kota Deltamas Ds. Sukamahi, Cikarang Pusat",
,PL0161,PT. ANDARI SAKTI,,,,,Kp Bojong Rt 06/03  Kelapa nunggal,
,PL0163,BAPAK ERWIN,,,,,,
,PL0164,GLOBAL BUANA ABADI,,,,,"JALAN RAYA SERPONG KILOMETER 7 NOMOR 39, PAKULONAN, SERPONG UTARA,KOTA TANGERANG SELATAN BANTEN 15334",
,PL0165,BAPAK KASPUL,,,,,,
,PL0166,IBU HENI,,,,,,
,PL0167,BAPAK UNDANG MUSTOFA,,,,,,
,PL0168,PT. SIGMA PACK GEMILANG,,,,,GRAND CIKARANG CITY Blok F 28 No 15 Cikarang - Bekasi,
,PL0169,PT MEGAH NUSANTARA PERKASA,,,,,"Jl. Bintang Mas No 8 Rt 004 Rw 003 Nanggewer, Cibinong Bogor Jawa Barat Indonesia",
,PL0170,LKG CELLTECH INDONESIA,,,,,"JALAN KENARI 1 BLOK G1 NO 21 DELTA SILICON 5 LIPPO CIKARANG, CICAU CIKARANG PUSAT KAB. BEKASI JAWA BARAT",
,PL0171,PT. MULTIMAS NABATI ASAHAN,,,,,"GEDUNG B&G TOWER LT.9 JL PUTRI HIJAU NO.10, RT 000, RW 000, KESAWAN, MEDAN BARAT, KOTA MEDAN, SUMATERA UTARA 20111",
,PL0172,PT. SURABAYA AUTOCOMP INDONESIA,,,,,"NGORO INDUSTRI PERSADA KAV. T-1                                                             PO. BOX 11, NGORO - MOJOKERTO 61385",
,PL0173,PT. PLASTIK REKAYASA INDUSTRI,,,,,"Dusun Ciotet RT. 004 RW. 002 Jatimulya, Pedes Kab. KarawangJAWA BARAT",
,PL0174,PT. MUSASHI PAINT INDONESIA,,,,,"JALAN INDUSTRI SELATAN IV, JABABEKA II BLOK GG NO 5A PASIRSARI, CIKARANG SELATAN BEKASI 17530",
,PL0175,PT WILMAR CAHAYA INDONESIA TBK,,,,,"GEDUNG MULTIVISION TOWER LANTAI 16 JALAN KUNINGAN MULIA LOT 9B RT.014 RW.004, GUNTUR, SETIABUDI, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",
,PL0176,PT BARU JAYA,,,,,,
